4es,DATE,D,TYPE,,COLOR,O,V,V,BUILD,TS R,🔥,SM,T1,WAX,T2,BAG,BOX,GEWICHT,BOX,LAB,📩,➡️,T&T,OPMERKINGEN
1330,13-6-2024,310,INNATO C4,432,B,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,31 x 31 x 31,1.7,TRUE,TRUE,FALSE,TRUE,5112925382548,
1331,14-6-2024,309,INNATO Bb3,440,SB,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XL,31 x 31 x 31,1.9,TRUE,TRUE,FALSE,TRUE,277759069055,
1332,15-6-2024,308,NATEY D4,432,C,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NATEY M,17 x 12 x 13,0.5,TRUE,TRUE,FALSE,TRUE,,
1333,15-6-2024,308,NATEY A3,440,C,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NATEY L,30 x 12 x 12,0.6,TRUE,TRUE,FALSE,TRUE,277759066090,
1334,16-6-2024,307,INNATO D#4,432,B,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO S,31 x 31 x 31,1.5,TRUE,TRUE,FALSE,TRUE,,
1335,16-6-2024,307,INNATO C4,440,SB,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,INNATO M,31 x 31 x 31,1.7,TRUE,TRUE,FALSE,TRUE,,
1336,17-6-2024,306,INNATO C4,432,B,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,31 x 31 x 31,1.7,TRUE,TRUE,FALSE,TRUE,277759070195,
1340,24-6-2024,299,INNATO B3,432,B,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO L,31 x 31 x 31,1.7,TRUE,TRUE,FALSE,TRUE,,
1341,24-6-2024,299,INNATO F#3,440,B,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XXL,35 x 35 x 35,2.6,TRUE,TRUE,FALSE,TRUE,,
1342,25-6-2024,298,INNATO A3,440,T,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XL,31 x 31 x 31,2.0,TRUE,TRUE,FALSE,TRUE,,Exhange with right color red no bubble
1343,26-6-2024,297,INNATO A3,432,B,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XL,ophalen,,FALSE,FALSE,FALSE,TRUE,,voor jan van der stappen snel maken
1344,26-6-2024,297,INNATO C4,440,B,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,31 x 31 x 31,1.7,TRUE,TRUE,FALSE,TRUE,exchange for B,
1345,28-6-2024,295,INNATO A3,432,C,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XL,31 x 31 x 31,,TRUE,TRUE,FALSE,TRUE,,
1345,29-6-2024,294,ZEN M,440,T,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ZEN M,samen,,TRUE,TRUE,FALSE,TRUE,,
1346,29-6-2024,294,INNATO C4,440,B,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,31 x 31 x 31,1.6,TRUE,TRUE,FALSE,TRUE,,
1347,30-6-2024,293,NATEY A4,432,SB,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NATEY S,,0.2,TRUE,TRUE,FALSE,TRUE,,
1348,2-7-2024,291,INNATO A3,432,SB,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XL,35 x 35 x 35,,TRUE,TRUE,FALSE,TRUE,,
1349,2-7-2024,291,NATEY D4,440,TB,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NATEY M,20 x 16 x 14,0.4,TRUE,TRUE,FALSE,TRUE,,
1351,6-7-2024,287,INNATO C#4,440,B,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,31 x 31 x 31,1.7,TRUE,TRUE,FALSE,TRUE,,
1352,7-7-2024,286,INNATO F3,432,C,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XXL,35 x 35 x 35,2.4,TRUE,TRUE,FALSE,TRUE,,
1354,13-7-2024,280,INNATO C4,440,SB,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,31 x 31 x 31,1.7,TRUE,TRUE,FALSE,TRUE,,
1355,14-7-2024,279,DOUBLE Bb3,432,SB,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,DOUBLE M,20 x 16 x 14,0.8,TRUE,TRUE,FALSE,TRUE,,
1356,15-7-2024,278,INNATO B3,432,B,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,31 x 31 x 31,1.8,TRUE,TRUE,FALSE,TRUE,,
1357,16-7-2024,277,DOUBLE B3,432,SB,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,DOUBLE M,20 x 16 x 14,0.8,TRUE,TRUE,FALSE,TRUE,,
1358,17-7-2024,276,INNATO A3,432,B,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO L,35 x 35 x 35,2.0,TRUE,TRUE,FALSE,TRUE,,
1359,17-7-2024,276,INNATO C4,432,SB,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,31 x 31 x 31,1.7,TRUE,TRUE,FALSE,TRUE,,
1360,17-7-2024,276,INNATO A3,432,SB,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO L,35 x 35 x 35,2.0,TRUE,TRUE,FALSE,TRUE,,
1361,18-7-2024,275,NATEY A3,440,TB,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,----,30 x 12 x 12,0.6,TRUE,TRUE,FALSE,TRUE,277759269083,
1362,18-7-2024,275,NATEY D4,440,SB,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NATEY M,30 x 12 x 12,0.4,TRUE,TRUE,FALSE,TRUE,,
1363,29-7-2024,264,INNATO C#4,432,C,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,31 x 31 x 31,1.6,TRUE,TRUE,FALSE,TRUE,,
1365,31-7-2024,262,NATEY C4,432,C,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NATEY L,17 x 12 x 13,0.5,TRUE,TRUE,FALSE,TRUE,,
1366,1-8-2024,261,INNATO F3,440,TB,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,35 x 35 x 35,2.6,TRUE,TRUE,FALSE,TRUE,,
1367,2-8-2024,260,ZEN L,,,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ZEN L,20 x 16 x 14,0.6,TRUE,TRUE,FALSE,TRUE,,
1368,6-8-2024,256,INNATO A3,432,B,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO L,35 x 35 x 35,2.0,TRUE,TRUE,FALSE,TRUE,,
1369,8-8-2024,254,INNATO A3,440,C,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XL,31 x 31 x 31,1.9,TRUE,TRUE,FALSE,TRUE,,
1370,9-8-2024,253,INNATO F#3,440,TB,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XXL,35 x 35 x 35,2.3,TRUE,TRUE,FALSE,TRUE,,
1371,9-8-2024,253,NATEY A4,440,SB,TRUE,TRUE,TRUE,19-04-2025,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NATEY S,17 x 12 x 13,0.2,TRUE,TRUE,FALSE,TRUE,,
1372,10-8-2024,252,INNATO G3,440,B,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XXL,35 x 35 x 35,2.2,TRUE,TRUE,FALSE,TRUE,,
1373,13-8-2024,249,INNATO A3,440,SB,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XL,35 x 35 x 35,2.0,TRUE,TRUE,FALSE,TRUE,,
1374,14-8-2024,248,INNATO A3,432,TB,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XL,31 x 31 x 31,2.0,TRUE,TRUE,FALSE,TRUE,,
1375,14-8-2024,248,INNATO D4,440,C,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,31 x 31 x 31,1.5,TRUE,TRUE,FALSE,TRUE,,
1376,14-8-2024,248,INNATO A3,432,B,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,samen,,TRUE,TRUE,FALSE,TRUE,,
